ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,MM,2014-01-20,0.607,2.613,-2.399,28,3.0,APPLE INC
AAPL,MM,2014-01-21,0.653,2.825,-2.519,49,4.0,APPLE INC
AAPL,MM,2014-01-22,0.841,2.759,-2.077,88,8.0,APPLE INC
AAPL,MM,2014-01-23,0.359,2.627,-2.909,103,10.0,APPLE INC
AAPL,MM,2014-01-24,0.597,2.748,-2.554,124,10.0,APPLE INC
AAPL,MM,2014-01-25,0.077,1.894,-2.74,26,7.0,APPLE INC
AAPL,MM,2014-01-26,0.85,3.201,-2.501,20,7.0,APPLE INC
AAPL,MM,2014-01-27,0.19,2.176,-2.795,142,10.0,APPLE INC
AAPL,MM,2014-01-28,0.373,2.618,-2.871,276,10.0,APPLE INC
AAPL,MM,2014-01-29,0.653,2.618,-2.311,98,3.0,APPLE INC
AAPL,MM,2014-01-30,0.163,2.115,-2.789,86,3.0,APPLE INC
AAPL,MM,2014-01-31,0.232,2.508,-3.043,56,2.0,APPLE INC
AAPL,MM,2014-02-01,-1.043,1.833,-2.92,23,1.0,APPLE INC
AAPL,MM,2014-02-02,0.917,3.206,-2.373,12,1.0,APPLE INC
AAPL,MM,2014-02-03,0.342,2.333,-2.648,38,2.0,APPLE INC
AAPL,MM,2014-02-04,0.739,2.976,-2.498,138,5.0,APPLE INC
AAPL,MM,2014-02-05,1.204,3.359,-1.951,54,3.0,APPLE INC
AAPL,MM,2014-02-06,0.301,2.438,-2.836,73,5.0,APPLE INC
AAPL,MM,2014-02-07,0.295,2.183,-2.593,149,10.0,APPLE INC
AAPL,MM,2014-02-08,0.3,2.553,-2.953,30,7.0,APPLE INC
AAPL,MM,2014-02-09,1.438,2.608,0.267,16,6.0,APPLE INC
AAPL,MM,2014-02-10,0.914,3.223,-2.395,163,10.0,APPLE INC
AAPL,MM,2014-02-11,0.024,1.969,-2.921,83,5.0,APPLE INC
AAPL,MM,2014-02-12,1.0,3.11,-2.11,75,4.0,APPLE INC
AAPL,MM,2014-02-13,0.216,2.336,-2.904,74,4.0,APPLE INC
AAPL,MM,2014-02-14,0.271,2.671,-3.128,59,3.0,APPLE INC
AAPL,MM,2014-02-15,0.5,2.913,-2.913,14,2.0,APPLE INC
AAPL,MM,2014-02-16,-1.0,2.38,-3.38,6,2.0,APPLE INC
AAPL,MM,2014-02-17,1.417,3.778,-1.945,12,1.0,APPLE INC
AAPL,MM,2014-02-18,1.493,3.471,-1.485,71,8.0,APPLE INC
AAPL,MM,2014-02-19,0.25,2.36,-2.86,68,9.0,APPLE INC
AAPL,MM,2014-02-20,1.519,3.949,-1.91,52,7.0,APPLE INC
AAPL,MM,2014-02-21,1.226,3.18,-1.729,62,8.0,APPLE INC
AAPL,MM,2014-02-22,-1.293,1.904,-3.49,58,10.0,APPLE INC
AAPL,MM,2014-02-23,1.327,3.236,-1.582,52,10.0,APPLE INC
AAPL,MM,2014-02-24,1.354,3.368,-1.661,82,10.0,APPLE INC
